*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-28470633,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,66,1,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28470633,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,66,1,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28470755,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,179.7,2,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28470755,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,179.7,2,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28470868,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,151.9496,3,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28470868,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,151.9496,3,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28471000,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,99.48535,4,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28471000,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,99.48535,4,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28471154,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,152.99,5,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28471154,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,152.99,5,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28471325,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,203,6,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28471325,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,203,6,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28471447,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,203,7,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28471447,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,203,7,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28471596,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,137,8,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28471596,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,137,8,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28471808,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,0,9,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28471808,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,0,9,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28471966,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,0,10,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28471966,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,0,10,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28472119,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,25,11,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28472119,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,25,11,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28472287,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,25,12,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28472287,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,25,12,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28472476,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,25,13,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28472476,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,25,13,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28472678,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,104.27,14,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28472678,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,104.27,14,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28472881,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,180,15,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28472881,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,180,15,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28473064,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,180,16,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28473064,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,180,16,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28473239,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,25,17,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28473239,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,25,17,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28473436,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131.55,18,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28473436,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131.55,18,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28473594,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,131.55,19,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28473594,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,131.55,19,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28473770,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,174.0462,20,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28473770,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,174.0462,20,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28473904,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,130,21,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28473904,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,130,21,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28474089,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,102,22,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28474089,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,102,22,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28474238,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,110.4,23,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28474238,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,110.4,23,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28474387,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,25,24,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28474387,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,25,24,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28474553,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,70,25,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28474553,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,70,25,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28474713,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,130.38,26,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28474713,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,130.38,26,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28474881,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,195,27,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28474881,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,195,27,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28475068,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,195,28,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28475068,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,195,28,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28475230,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,195,29,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28475230,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,195,29,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28475410,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,144.96,30,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28475410,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,144.96,30,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28475541,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,114.75,31,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28475541,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,114.75,31,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28475740,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,120.67,32,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28475740,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,120.67,32,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28475892,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,195,33,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28475892,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,195,33,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28476066,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,173.4,34,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28476066,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,173.4,34,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28476225,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,0,35,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28476225,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,0,35,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28476376,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,214,36,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28476376,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,214,36,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28476532,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,0,37,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28476532,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,0,37,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28476671,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,201.9,38,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28476671,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,201.9,38,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28476796,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,209,39,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28476796,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,209,39,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28476932,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,214,40,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28476932,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,214,40,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28477062,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,214,41,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28477062,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,214,41,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28477202,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,208,42,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28477202,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,208,42,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28477329,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,207,43,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28477329,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,207,43,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28477463,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,58,44,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28477463,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,58,44,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28477610,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,206,45,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28477610,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,206,45,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28477758,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,201.9,46,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28477758,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,201.9,46,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28477908,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,202,47,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28477908,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,202,47,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28478091,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,-17.06,48,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28478091,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,-17.06,48,2022-02-05,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
