DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-28478237,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,190,1,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28478237,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,190,1,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28478381,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,200,2,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28478381,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,200,2,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28478518,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,190,3,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28478518,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,190,3,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28478664,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,-17.06,4,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28478664,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,-17.06,4,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28478797,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,64.67,5,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28478797,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,64.67,5,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28478949,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,190,6,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28478949,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,190,6,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28479078,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,-7.78,7,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28479078,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,-7.78,7,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28479223,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,-11.08,8,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28479223,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,-11.08,8,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28479395,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,-23.48989,9,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28479395,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,-23.48989,9,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28479542,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,-30,10,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28479542,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,-30,10,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28479680,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,-16.05,11,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28479680,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,-16.05,11,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28479831,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,-13.11,12,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28479831,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,-13.11,12,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28479979,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,94.68,13,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28479979,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,94.68,13,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28480151,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,47.42,14,2022-02-06,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
