*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-28463544,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,101,1,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28463544,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,101,1,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28463693,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,194.9,2,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28463693,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,194.9,2,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28463816,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,191,3,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28463816,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,191,3,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28463958,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,182,4,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28463958,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,182,4,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28464063,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,71,5,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28464063,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,71,5,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28464190,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,182,6,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28464190,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,182,6,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28464300,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,73,7,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28464300,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,73,7,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28464445,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,75.1,8,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28464445,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,75.1,8,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28464663,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,191,9,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-28464663,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,191,9,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-28464788,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,199,10,2022-02-04,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
